Competition,Award Category,Year,Item,Original Name,Name,Data Processing,Brief Comments,Data Source Label Location,Original Content,Translated Text,Manual,Machine,Rank,Link
China Data Content Competition,Best data application,2021,Gold Award,舌尖上的“恶魔”,Devil on the tip of the tongue,Clearly marked,Relatively clear,Text,2015年全国食源性疾病暴发监测网的数据显示，在近八成可明确致病因子污染环节的事件中，三成以上是由于误食误用食品引起，27.2%的食源性疾病则是因操作不当导致，如食品加热温度不够或时间不充分、存储不当或生熟交叉污染等。,"According to data from the National Foodborne Disease Outbreak Surveillance Network in 2015, in nearly 80% of the incidents where the pathogenic factor can be clarified, more than 30% are caused by accidental eating and misuse of food, and 27.2% of foodborne diseases are caused by operation. Improper causes, such as insufficient heating temperature or insufficient time of food, improper storage or cross-contamination of raw and cooked food, etc.",Clear,None,0,
China Data Content Competition,Best data application,2021,Gold Award,舌尖上的“恶魔”,Devil on the tip of the tongue,Clearly marked,Relatively clear,Picture annotation,据2013年至2015年数据，从致病因素来看，化学性因素引起的事件起数极差为27，每月变化不大；微生物性因素引起的事件起数极差为201，月度差异较为明显，5-9月为其暴发高峰；,"According to data from 2013 to 2015, from the perspective of pathogenic factors, the range of events caused by chemical factors is 27, with little change per month; the range of events caused by microbial factors is 201, with a relatively large monthly difference Obviously, its outbreak peak is from May to September;",None,Clear,4,
China Data Content Competition,Best data application,2021,Gold Award,舌尖上的“恶魔”,Devil on the tip of the tongue,Clearly marked,Relatively clear,Text,《2020年中国卫生健康统计年鉴》反映了不同地区食品安全风险的差异。山东以一年1589起问题事件和6784人次的患者人数居于全国之最，其次则是云南省，暴发1192起，患病人数5866。,"The 2020 China Health Statistics Yearbook reflects the differences in food safety risks in different regions. Shandong ranks the highest in the country with 1,589 problem incidents and 6,784 patient-times a year, followed by Yunnan Province, with 1,192 outbreaks and 5,866 patients.",Clear,None,0,
China Data Content Competition,Best data application,2021,Gold Award,舌尖上的“恶魔”,Devil on the tip of the tongue,Clearly marked,Relatively clear,Picture annotation,依年鉴数据，餐饮服务单位和家庭场所是食源性疾病高发场所，事件起数分别占比50%和47.5%，患者人数各占70.9%和26.2%。,"According to the yearbook data, catering service units and family establishments are places with high incidence of foodborne diseases. The number of incidents accounted for 50% and 47.5%, respectively, and the number of patients accounted for 70.9% and 26.2%, respectively.",None,Clear,4,
China Data Content Competition,Best data application,2021,Gold Award,舌尖上的“恶魔”,Devil on the tip of the tongue,Clearly marked,Relatively clear,Text,据估计，发达国家的食品安全问题漏报率高达90%，而发展中国家则达95%以上。,"It is estimated that the underreporting rate of food safety issues in developed countries is as high as 90%, while that in developing countries is over 95%.",Clear,None,0,
China Data Content Competition,Best data application,2021,Gold Award,舌尖上的“恶魔”,Devil on the tip of the tongue,Clearly marked,Relatively clear,Picture annotation,数据显示，从2014至2019年，我国累计公布食品安全国家标准874项，其中具体包括食品安全基础标准、食品产品标准、营养与特殊膳食食品标准等在内的10类标准。,"Data shows that from 2014 to 2019, my country has published a total of 874 national food safety standards, including 10 types of standards including basic food safety standards, food product standards, nutrition and special dietary food standards, etc.",None,Clear,4,
China Data Content Competition,Best data application,2021,Gold Award,舌尖上的“恶魔”,Devil on the tip of the tongue,Clearly marked,Relatively clear,Text,据《2019中国餐饮大数据白皮书》数据显示，我国餐饮门店在稳步增多，至2019年就已达到近700万家，同时，外卖行业近些年也发展迅速，2019年预计我国外卖用户规模将超4亿人，市场规模将超2800亿元。,"According to the ""2019 China Catering Big Data White Paper"" data, my country's catering stores are steadily increasing, reaching nearly 7 million by 2019. At the same time, the food delivery industry has also developed rapidly in recent years. In 2019, it is expected that the number of foreign sellers in my country will exceed 400 million people, the market size will exceed 280 billion yuan.",Clear,None,0,
China Data Content Competition,Best data application,2021,Silver award,勿知我姓名：流调信息公开的边界,Don't know my name: the boundary of the flow of information disclosure,Clearly marked,Relatively clear,Picture annotation,RUC新闻坊对今年1月以来国内报告出现新增确诊病例的省份（除港澳台）的流调信息公开情况做了统计，发现大部分省份都能在病例确诊后当天或隔天公布流调数据，但仍有个别省份存在2-3天后公布或长时间未公布的情况。,"The RUC Newsroom has made statistics on the distribution of information disclosure in the provinces (except Hong Kong, Macao and Taiwan) that have reported new confirmed cases since January this year, and found that most provinces can release the distribution data on the same day or the next day after the case is diagnosed. , But there are still some provinces that have been announced after 2-3 days or have not been announced for a long time.",Unclear,Clear,4.5,https://mp.weixin.qq.com/s/bDaBJH1J0IQChKRZ8T_CbA
China Data Content Competition,Best data application,2021,Bronze Award,快递送来的处方药，靠谱吗？,Is the courier delivery of prescription drugs reliable?,Clearly marked,Relatively clear,Text,根据京东健康2020年11月在港交所发布的招股书，线上医药市场正在快速扩张，线上零售药店的增长势头尤其旺盛。在细分市场中，处方药预计会成为未来所占份额最大的一类：预计至2026年，其将超过非处方药占比，2030年，其市场份额或将突破3000亿元。,"According to the prospectus issued by JD Health on the Hong Kong Stock Exchange in November 2020, the online pharmaceutical market is rapidly expanding, and the growth momentum of online retail pharmacies is particularly strong. In the market segment, prescription drugs are expected to become the category with the largest share in the future: It is estimated that by 2026, it will exceed the proportion of non-prescription drugs, and its market share may exceed 300 billion yuan in 2030.",Clear,None,0,https://mp.weixin.qq.com/s/hkzRa4yBdLVDcq5bf9gg8w
China Data Content Competition,Best data application,2021,Bronze Award,快递送来的处方药，靠谱吗？,Is the courier delivery of prescription drugs reliable?,Clearly marked,Clearly stated,Picture annotation,以“药”为关键词得到的4982条数据中，非处方药销售占七成。,"Among the 4982 pieces of data obtained with ""medicine"" as the key word, over-the-counter drug sales accounted for 70%.",None,Clear,4,
China Data Content Competition,Best data application,2021,Bronze Award,快递送来的处方药，靠谱吗？,Is the courier delivery of prescription drugs reliable?,Clearly marked,Clearly stated,Picture annotation,在收集到的淘宝25560条商品评论中，“价格”、“效果”、“速度”、“正品”是最常被提到的评价维度。,"Among the 25560 product reviews collected on Taobao, ""price"", ""effect"", ""speed"", and ""genuine"" are the most frequently mentioned evaluation dimensions.",None,Clear,4,
China Data Content Competition,Best data application,2021,Bronze Award,快递送来的处方药，靠谱吗？,Is the courier delivery of prescription drugs reliable?,Clearly marked,Relatively clear,Text,根据百度搜索指数数据，在2020年疫情最严重的几个月中，“网上买药”搜索量激增，在2020.1.27-2020.2.2期间达1266次。“非必要不去医院”的拦截线彼端，是高速旋转的互联网和物流产业。,"According to the Baidu search index data, in the most severe months of the epidemic in 2020, the number of searches for “buying drugs online” surged, reaching 1,266 times between 2020.1.27 and 2020.2.2. At the other end of the interception line of ""no need to go to the hospital"" is the high-speed spinning Internet and logistics industry.",Clear,None,0,
China Data Content Competition,Best data application,2021,Bronze Award,快递送来的处方药，靠谱吗？,Is the courier delivery of prescription drugs reliable?,Clearly marked,Relatively clear,Text,据天眼查的五千条数据显示，开展互联网药品交易服务的企业，其经营范围除了“医药”之外，还延展到了如“食品”、“电子技术”、“服装”等多个领域。,"According to the 5,000 pieces of data checked by Tianyan, the business scope of companies that carry out Internet drug transaction services not only extends to “medicine”, but also extends to many fields such as “food”, “electronic technology”, and “clothing”.",Clear,None,0,
China Data Content Competition,Best data application,2021,Bronze Award,快递送来的处方药，靠谱吗？,Is the courier delivery of prescription drugs reliable?,Clearly marked,Relatively clear,Picture annotation,10所药房中，两项资格证书都齐全并在有效期内的只有2所药房，分别是“益丰大药房”和“健之佳大药房”，其余的8所都存在资格证书到期、缺失的情况。,"Among the 10 pharmacies, both qualification certificates are complete and only 2 pharmacies are within the validity period, namely ""Yifeng Pharmacy"" and ""Jianzhijia Pharmacy"". The remaining 8 have expired or missing qualification certificates Case.",None,Clear,4,
China Data Content Competition,Best data application,2021,Bronze Award,快递送来的处方药，靠谱吗？,Is the courier delivery of prescription drugs reliable?,Clearly marked,Relatively clear,Picture annotation,在15000条搜索结果中，有近十分之一的药品同时采取了“包邮”、“满减”和“折扣”三种促销方式。,"Among the 15,000 search results, nearly one-tenth of the drugs used three promotion methods, namely ""free shipping"", ""full discount"" and ""discount"" at the same time.",None,Clear,4,
China Data Content Competition,Public Concern Issues Award-100th Anniversary of the Founding of the Party,2021,Gold Award,《百年跨越》,A Hundred Years Leap,Unmarked,NA,NA,NA,NA,None,None,0,https://francais.cgtn.com/event/2021/Chine100AnsDansLeRetro/index.html
China Data Content Competition,Public Concern Issues Award-100th Anniversary of the Founding of the Party,2021,Gold Award,《建党百年》中国共产党发展历程信息可视化设计,A Hundred Years of the Founding of the Party Information Visualization Design of the Development History of the Communist Party of China,Clearly marked,Clearly stated,Text,《“建党百年”信息可视化设计》作品运用信息设计、平面设计、动态影像等多元化的设计手法。,"The One Hundred Years of the Founding of the Party"" Information Visualization Design"" work uses diversified design techniques such as information design, graphic design, and dynamic images.",Unclear,Clear,5,https://www.behance.net/gallery/127556287/_
China Data Content Competition,Public Concern Issues Award-Women's Development,2021,Gold Award,3522条修改记录看近十年女性主义话题之争,3522 revised records to see the debate on feminist topics in the past ten years,Not clearly marked,Blur processing,Picture annotation,文字经过简化修改,Text has been simplified and revised,Unclear,Unclear,1,https://www.thepaper.cn/newsDetail_forward_11607122
China Data Content Competition,Public Concern Issues Award-Women's Development,2021,Gold Award,3522条修改记录看近十年女性主义话题之争,3522 revised records to see the debate on feminist topics in the past ten years,Not clearly marked,Blur processing,Text,根据修改历史，澎湃新闻（www.thepaper.cn）共梳理出107条话题,"According to the revision history, The Paper (www.thepaper.cn) sorted out 107 topics",Unclear,Unclear,1,
China Data Content Competition,Public Concern Issues Award-Women's Development,2021,Gold Award,3522条修改记录看近十年女性主义话题之争,3522 revised records to see the debate on feminist topics in the past ten years,Not clearly marked,Blur processing,NA,原因文字经过删减,Reason text has been cut,Unclear,Unclear,1,
China Data Content Competition,Public Concern Issues Award-Women's Development,2021,Gold Award,寻找城市角落的育婴室 --- 对香港18区380间育婴室的数据调查,Looking for nursery rooms in the corners of the city --- Data survey of 380 nursery rooms in 18 districts in Hong Kong,Clearly marked,Clearly stated,Text,为了避免不同网站信息导致的育婴室数据重复、不准确，我们决定第一步先在商场官网 和政府官网进行数据收集，如果商场官网、政府官网没有具体信息，我们则在记录有香 港育婴室资料最全的BBGAGA网站上收集数据，对官方公开资料进行补充。,"In order to avoid duplication and inaccuracy of nursery room data caused by information on different websites, we decided to collect data on the official website of the mall and the government as the first step. If there is no specific information on the official website of the mall or the government, we will record the Hong Kong baby The data collected on the BBGAGA website, which has the most comprehensive information in the laboratory, supplements the official public information.",None,Clear,4.5,https://superorange7410.github.io/superorange/index.html
China Data Content Competition,Public Concern Issues Award-Women's Development,2021,Gold Award,寻找城市角落的育婴室 --- 对香港18区380间育婴室的数据调查,Looking for nursery rooms in the corners of the city --- Data survey of 380 nursery rooms in 18 districts in Hong Kong,Clearly marked,Clearly stated,Text,我们检视了公开资料上发布的育婴室的图片，对于《要求》上针对设备的要求，我们检视 图片并对图片进行人工编码，对于每一设备，“有”则得1分，“无”得0分，无法获取的部分 为“NS"。我们对这些分数进行加总，得分越高，表示该育婴室内部设备越完善。,"We reviewed the pictures of the nursery room published in the public information. For the requirements for equipment in the ""Requirements"", we reviewed the pictures and manually coded the pictures. For each device, ""Yes"" gets 1 point, ""None"" Get 0 points, and the unavailable part is ""NS"". We add up these scores, and the higher the score, the better the equipment inside the nursery room.",None,Clear,5,
China Data Content Competition,Public Concern Issues Award-Women's Development,2021,Gold Award,寻找城市角落的育婴室 --- 对香港18区380间育婴室的数据调查,Looking for nursery rooms in the corners of the city --- Data survey of 380 nursery rooms in 18 districts in Hong Kong,Clearly marked,Clearly stated,Text,我们]通过使用Google地图测量所选商场楼宇、政府物业到最近地铁站的直线距离，以米 为单位，探究育婴室在地理位置上的便利性。数字越小，表示商场或政府物业距离地铁 站越近，交通更便利。,"We] used Google Maps to measure the straight-line distance from selected shopping mall buildings and government properties to the nearest subway station, using meters as the unit to explore the geographic convenience of the nursery. The smaller the number, the closer the shopping mall or government property is to the subway station and the more convenient the transportation.",None,Clear,4.5,
China Data Content Competition,Public Concern Issues Award-Women's Development,2021,Gold Award,寻找城市角落的育婴室 --- 对香港18区380间育婴室的数据调查,Looking for nursery rooms in the corners of the city --- Data survey of 380 nursery rooms in 18 districts in Hong Kong,Clearly marked,Clearly stated,Text,最后我们随机抽样选取13处商场进行实地测量，统计升降梯到育婴室的步行数量(以成 年女性步幅测量)，步数越小，表示升降梯离育婴室的距离越短，使用者越容易到达育婴 室。通过结合内部设施和外部情况，完成数据收集部分。,"Finally, we randomly selected 13 shopping malls for field measurement, and counted the number of walks from the elevator to the nursery room (measured by adult female strides). The smaller the number of steps, the shorter the distance between the elevator and the nursery room, and the user The easier it is to reach the nursery. Complete the data collection part by combining internal facilities and external conditions.",None,Clear,3,
China Data Content Competition,Public Concern Issues Award-Women's Development,2021,Gold Award,寻找城市角落的育婴室 --- 对香港18区380间育婴室的数据调查,Looking for nursery rooms in the corners of the city --- Data survey of 380 nursery rooms in 18 districts in Hong Kong,Clearly marked,Clearly stated,Text,通过对每个育婴室的内部设施总分进行排序，筛除所有内部设施条件均不可知的情况（即所有内部设施单元格均为NS，总分为0），政府内部设施平均分为4.5。,"By sorting the total scores of the internal facilities of each nursery room, all the conditions of the internal facilities are unknowable (that is, all internal facility cells are NS, the total score is 0), and the average internal government facilities are 4.5 .",None,Clear,5,
China Data Content Competition,Public Concern Issues Award-Women's Development,2021,Gold Award,中国年轻女性在前沿领域大显身手,Young women in China are empowering themselves in frontier roles,Not clearly marked,NA,NA,NA,NA,Unclear,Unclear,1,https://news.cgtn.com/news/2021-05-31/Young-women-in-China-are-empowering-themselves-in-frontier-roles-10HPV5C3Rbq/index.html
China Data Content Competition,Public Concern Issues Award-Towards Carbon Neutrality,2021,Gold Award,从“跑马圈地”到“精耕细作”——政策指导下垃圾焚烧行业的变革,From "Enclosure" to "Intensive Cultivation"——The Reform of Waste Incineration Industry under the Guidance of Policies,Not clearly marked,NA,NA,NA,NA,None,Some signs,2,https://serverless-page-bucket-sw6mg6ev-1306669764.cos-website.ap-beijing.myqcloud.com
China Data Content Competition,Public Concern Issues Award-Towards Carbon Neutrality,2021,Gold Award,数完14天里用的所有塑料后，我沉默了……,"After counting all the plastic used in 14 days, I was silent...",Not clearly marked,NA,NA,NA,NA,Some signs,None,0,http://h5.thepaper.cn/html/zt/2021/01/suliao/index.html
